channel,warranty,made_in,source_region,sustainability,shipping,industry_standard,applied_printer_model,applied_printer_tech,customer_service,authenticity,product_type,compatibility,applied_target,store,board_function,product_material,pad_material,paper_function,hole,cleanse,envelope_material,pen_function,ink_function,notebook_cover,title,description
,,,,,,,,,,,Naproxin Tablets,Lil' Drugstore Medicine Dispensers,,,,,,,,,,,,,"""Naproxin Tablets, 220mg, Refill Pack, One Tablet/Packet, 30 Packets/Box"" Tablets by Aleve® LIL51030 - OnTimeSupplies.com""","""Temporarily relieves minor aches and pains due to minor pain of arthritis, muscular aches, backache, menstrual cramps, headache, toothache and common cold. Also, temporarily reduces fever. Packaged for quick refill of Lil' Drugstore Medicine Dispensers (sold separately) or for other use. 
"" "
,,,,,,,,,cannot be returned,,Single-Dose Refill Pack,a wall dispenser,,,,,,,,,,,,,"""Lil Drugstore Products Aleve® Single-Dose Refill Pack"" 30 ct - LIL51030 ReStockIt "" "" Lil Pack","""Don't make yourself or your employees struggle through the day feeling ill. Single-dose packets of the most needed medicines will provide everyone with much-needed relief. The medicine is sealed in single-dose packets, which in turn are packaged in a stand-alone sleeve that also efficiently refills a wall dispenser (sold separately). Note that this product cannot be returned. UPC: 366715510303
""@en "
,,,US,,,,,,,,Caplets,,,,,,,,,,,,,,""" Lil' Drug Store Aleve Caplets ""-US ""Lil' - LIL51030 | OfficeSupply.com""-US",
,,,,,,,,,,,Design Suite Paper,laser and inkjet compatible,,,,Acid- and lignin-free,,,,,,,,,"""Design Suite Paper, 24 lbs., Party, 8 1/2 x 11, White, 100/Pack"" Paper by Geographics® GEO39219 - OnTimeSupplies.com""","""Create custom announcements, party invitations, flyers and more using design paper suited to match nearly any occasion. Customize your work for free at iClickNPrint.com, Geographics online design center. Acid- and lignin-free, laser and inkjet compatible. 
"" "
,,,US,,,,,,,,Party Design Paper,,,,,,,,,,,,,,"""Geographics Party Design Paper""-US ""Shop for Printed Stationery Cards & and More | OfficeSupply.com""-US",
,,,US,,,,,,,,Party Design Paper,,,,,,,,,,,,,,""" Geographics Party Design Paper ""-US ""Geographics - GEO39219 | OfficeSupply.com""-US",
,,,,,,,,laser and inkjet printers,,,Party Design Letterhead Paper,,,,,,,,,,,,,,"""Geographics Party Design Letterhead Paper"" "" Geographics Paper 100 Sheets/Pack - GEO39219 ReStockIt "" 8 1/2 x 11 24 lb. Bond","""Party Design Letterhead Paper, Matching EnvelopesExpress your creativity! Use with laser and inkjet printers, copiers or quick print services. 24-lb. bond. Acid-free.LetterheadMatching envelopes (GEO40820), sold separately.100 Sheets per Pack8-1/2 x 11COLOR: Party DesignALTERNATE ITEM #: 682146, B00006IDX2UPC: 022473392192INNER PACKAGING: 100 Sheet.
""@en "
,,,,,,,,,,,Toner,,,,,,,,,,,,,,"""SCXD4725A Toner, 3000 Page-Yield, Black"" Toner by Samsung SASSCXD4725A - OnTimeSupplies.com""","""Create sharp text and fine lines. Rest easy knowing that every cartridge has passed rigorous testing, making it reliable and dependable. Installs easily and quickly, saving you time and money.

This product fits the following machines:

Samsung SCX Series SCX-4725 ELS
Samsung SCX Series SCX-4725 F
Samsung SCX Series SCX-4725 FN
"" "
,,,,,,,,,,,Toner Cartridge,,,,,,,,,,,,,,"""Samsung SCX4725A Toner Cartridge"" Black - SASSCXD4725A ReStockIt "" "" Samsung Cartridge","""Create sharp text and fine lines. Rest easy knowing that every cartridge has passed rigorous testing, making it reliable and dependable. Installs easily and quickly, saving you time and money.COLOR: BlackALTERNATE ITEM #: 291550, 680548, 21373096, SCXD4725A, B000MTUQJYUPC: 635753614114
""@en "
,,,,,,,,,,,High Impact Plastic Laser Pointer,,government and education settings,,,,,,,,,,,,"""High Impact Plastic Laser Pointer, Class 2, Projects 450 ft, Black"" Pointer by Quartet® QRTMP1202Q - OnTimeSupplies.com""","""Pen-style Class 2 laser pointer is ideal for everyday standard use. Designed for small venues, it projects a red dot. It is visible in most room conditions and can be used on any medium. The less powerful, safer Class 2 laser is acceptable in government and education settings. Pointer features high-impact black plastic construction for lasting use. 
"" "
,,,,,,,,,,,Laser Pointer,,,,,,,,,,,,,,"""Acco Quartet MP1202Q Standard Pen Size Plastic Class 2 Laser Pointer"" "" Acco Pointer - QRTMP1202Q ReStockIt ""","""Standard Pen Size Plastic Class 2 Laser Pointer, Projects 150 Yards, Black Move freely around the room. Powerful beam can be seen even in the brightest room. Ideal for highlighting overhead or LCD projections, videos, maps and charts. Lightweight high-impact plastic construction.Class 2 Laser PointerProjects 150 YardsCOLOR: BlackALTERNATE ITEM #: APOMP1202UPC: 718575120206
""@en "
,,,,,,,,,,,Correction Tape,,,,,,,,,,,,,,"""Bic Correction Tape"" Non-Refillable "" Bic Tape 4/Pack - BICWOTAPP418 ReStockIt "" 1/6"" x 400""","""Correct mistakes instantly. Dispenser allows for easy, precise corrections. Tear resistant.ALTERNATE ITEM #: 385550UPC: 070330505896INNER PACKAGING: 4 per pack.
""@en "
,,,,,,,,,,,Correction Tape,,,,,,,,,,,,,,"""Wite-Out EZ Correct Correction Tape, Non-Refillable, 1/6"" x 400"", 4/Pack"" Tape by BIC® BICWOTAPP418 - OnTimeSupplies.com""","""Fix mistakes fast! The tape applies dry, so you can write over it instantly. Tear-resistant and film-based for easy and convenient corrections. Clean and easy to use. Translucent body provides visible tape supply. 
"" "
,,,,,,,,,,,Cash Box,,,,,Plastic & Steel,,,,,,,,,"""Plastic & Steel Cash Box w/Tumbler Lock, Black Chrome"" Lock by Vaultz® IDEVZ01002 - OnTimeSupplies.com""","""Keep your valuables safe and secure in this attractive black cash box with a plastic inset tray to organize bills and coins. With plenty of room underneath, the cash box can hold tickets, receipts, checks or other valuables. The smooth chrome handle allows for comfortable carrying and a tumbler lock is available for convenient keyless locking. Rubber feet prevent skidding and scuffing. 
"" "
,,,US,,,,,,,,Locking Cash Box,,,,,,,,,,,,,,"""Vaultz Locking Cash Box""-US ""Shop for Storage Handling and More | OfficeSupply.com""-US",
,,,,,,,,,,,Cash Box,,,,,,,,,,,,,,"""Ideastream Cash Box"" F/Bills and Coins "" Ideastream Box 10""x8 3/4""x5"" Black/Chrome - IDEVZ01002 ReStockIt ""","""Cash box features include a plastic inset tray to organize bills and coins, with plenty of room underneath for tickets, receipts, checks or other valuables. Smooth chrome handle for comfortable carrying and a tumbler lock for convenient keyless locking. Side key-hole accommodates the Kensington laptop security cable (not included). Rubber feet prevents skidding and scuffing.COLOR: Black, ChromeALTERNATE ITEM #: 856488, 563281, 20238681, B00063BJ6UUPC: 826030010020INNER PACKAGING: 1 each.
""@en "
Outlet,,US,, we use 100% recycled paper containing 100% post-consumer waste with soy-based inks,,,,,,,Doodle Pad,,,,,,,,,,,,,,"""House of Doolittle Doodle Pad Refillable, 50 White Sheets, Brown Holder, 22 x 17 Inch (HOD40003)""-US ""Desk Accessories & Workspace Organizers - Page 171 | Office Outlet Express""-US","""Since 1919, House of Doolittle has manufactured quality dated products made in the United States that help you be more productive during your daily planning activities. In 1988 we made the commitment to produce all of our products using recycled paper and materials. Part of our environmentally responsible collection is this compact size Doodle Pad for the desk top. Great for quickly jotting down important reminders, notes and ideas on recycled paper so thoughts don't escape and important tasks get done.  The refillable holder has strong brown leatherette reinforced corners keep pages in place and protected.  This doodle desk pad is perfect for any office desk, teacher's desk, student's desk or any other environment. Other products from House of Doolittle include desk pad calendars, wall calendars, lesson planners, class record books, assignment books, monthly appointment planners and weekly appointment planners. Go green with House of Doolittle products, as we use 100% recycled paper containing 100% post-consumer waste with soy-based inks. All of our products are manufactured in the USA and are FSC Certified. Since 1989 House of Doolittle has donated 5% of its profits to organizations that are working to create a more sustainable environment.""@en-US "
,,,,100% Recycled,,,,,,,Doodle Desk Pad,,,,,,,,,,,,,,"""100% Recycled Doodle Desk Pad, Unruled, 50 Sheets, Refillable, 22 x 17, Brown"" Pad by House of Doolittle™ HOD40003 - OnTimeSupplies.com""","""Guiltless doodling on recycled paper! Great for quickly jotting down important reminders, notes and ideas so thoughts don't escape and important tasks get done. Helps protect your desk surface against scratches, marks and stains. Padded corners for added durability. Made entirely of recycled materials. 
"" "
,,,,100% Recycled,,,,,,,Doodle Desk Pad,,,,,,,,,,,,,,"""House Of Doolittle 100% Recycled Doodle Desk Pad"" "" House Pad Refillable 50 Sheets Unruled 22 x 17 Brown - HOD40003 ReStockIt ""","""This item is excluded from discount offers. For large quantity orders, please contact our Sales Team at 800.680.0859.Guiltless doodling on recycled paper! Great for quickly jotting down important reminders, notes and ideas so thoughts don't escape and important tasks get done. Helps protect your desk surface against scratches, marks and stains. Padded corners for added durability. Width: 22""; Depth: 17""; Paper Color(s): White; Base Color: Brown. Packaging contains 100% post-consumer recycled content, 100% total recycled content.COLOR: WhiteALTERNATE ITEM #: 235500, 513920, B00160251UUPC: 040983400039INNER PACKAGING: 50 per roll.
""@en "
,,,,our products using recycled paper and materials,,,,,,,Doodle Pad,,,,,,,,,,,,,,"""House of Doolittle Doodle Pad Refillable, 50 White Sheets, Brown Holder, 22 x 17 Inch (HOD40003)"" ""Desk Accessories & Workspace Organizers - Page 1391 | Office Supplies Authority""","""Since 1919, House of Doolittle has manufactured quality dated products made in the United States that help you be more productive during your daily planning activities. In 1988 we made the commitment to produce all of our products using recycled paper and materials. Part of our environmentally responsible collection is this compact size Doodle Pad for the desk top. Great for quickly jotting down important reminders, notes and ideas on recycled paper so thoughts don't escape and important tasks get done.  The refillable holder has strong brown leatherette reinforced corners keep pages in place and protected.  This doodle desk pad is perfect for any office desk, teacher's desk, student's desk or any other environment. Other products from House of Doolittle include desk pad calendars, wall calendars, lesson planners, class record books, assignment books, monthly appointment planners and weekly appointment planners. Go green with House of Doolittle products, as we use 100% recycled paper containing 100% post-consumer waste with soy-based inks. All of our products are manufactured in the USA and are FSC Certified. Since 1989 House of Doolittle has donated 5% of its profits to organizations that are working to create a more sustainable environment."" "
,,,US,100% post-consumer recycled,,,,,,,Doodle Pad,,,,,,,,,,,,,,"""HOD40003 Doodle Pad""-US","""
	HOD40003 Doodle Pad - Brown padded corners from House of Doolittle

	
		Size 22""x17""
	
		50 white sheets per pad
	
		Brown padded corners
	
		Refillable holder
	
		100% post-consumer recycled

""@en-US "
,,,,,,,,,,,Dry Erase Easel,,,,,,,,,,,,,,"""Acco Quartet Dry Erase Easel"" "" Acco Easel 27"" x 34"" - QRT210TEA ReStockIt ""","""Optional Duramax® Total Erase® Dry Erase BoardOptional Duramax® Total Erase® Dry Erase BoardFits Duramax® Portable Easels (QRT200E/QRT201E), sold separately. Double-sided, stain-resistant white board slides easily onto easel. Guaranteed to wipe clean every time; subtle grid pattern aligns writing. Includes protective storage sleeve. 27w x 34h. UPC: 034138594872
""@en "
,,,,,,,,,,,Total Erase Dry Board,,,,,,,,,,,,,,"""Duramax Total Erase Dry Board, 27 x 34, White"" Board by Quartet® QRT210TEA - OnTimeSupplies.com""","""Whiteboard accessory delivers additional functionality to the Duramax® Easel. Dual-sided Total Erase® whiteboard resists ghosting and staining and easily attaches to the easel surface. One Quartet® dry-erase marker is included. 
"" "
,,,,,,,,,,,Drawer,,,,,steel,,,,,,,,,"""Tennsco 8-Drawer For 3 x 5 and 4 6 Card"" Light Gray - TNNCF846LGY ReStockIt "" 15""w 52""h "" Tennsco Card","""Full-extension, full-suspension steel files. 26 3/4"" deep filing capacity per drawer. One lock secures all drawers. One center divider and two follower blocks per drawer.3 x 5 size for audio and dictation cassettes. 4 x 6 size for microfiche. 43, 400-card capacity. 15""w x 52""h. Shpg. wt. 216 lbs.COLOR: Light GrayUPC: 044767110171
""@en "
,,,,,,,,,,,File Cabinet,,,,,,,,,,,,,,"""Eight-Drawer File Cabinet For 3 x 5 & 4 6 Card, 15w 52h, Light Gray"" Card by Tennsco TNNCF846LGY - OnTimeSupplies.com""","""43,400 card capacity. 3x5 size for audio and dictation cassettes, 4x6 size for microfiche. Durable steel construction ensures strength and stability. One lock secures all drawers. Center divider and two follower blocks per drawer. 
"" "
,,,,,,,,,,,Rubber Bands,,home or office,,,,,,,,,,,,"""Rubber Bands, Size 19, 3-1/2 x 1/16, 1240 Bands/1lb Pack"" Bands by Universal® UNV00119 - OnTimeSupplies.com""","""General purpose rubber bands for home or office use. 
"" "
,,,,,UPS,,,,,,Rubber Bands,,home or office,,,,,,,,,,,,"""UNV00119 Rubber Bands, Size 19, 3-1/2 x 1/16, 1240 Bands/1lb Pack UNV 00119"" 1/16 - Universal® Bands 19","""ID: UNV00119 MANUFACTURER: Universal® PRODUCT GROUP: Universal® Rubber BandsPRODUCT NAME: Rubber Bands, Size 19, 3-1/2 x 1/16, 1240 Bands/1lb PackPRODUCT WEIGHT: 1.75 POUNDS PRODUCT SHIP VIA UPS? Y PRODUCT NAMES: 1-lb. Box; Band; Bands; Rubber Band; Rubber Bands; Size 19; UNIVERSAL; Rubberband; Rubberbands; Elastic; Loops; Gum Lackeys; Laggies; Lackas; Mailrooms; Laggy; SPR191LB; BSN15737  CATEGORY:Pens & Desk Supplies > Rubber Bands > Rubber Bands MORE INFO:SOLD AS: PK General purpose rubber bands for home or office use. Approximate Count: 1,240; Size: 19; Length: 3 1/2""."" "
,,,,,,,,,,,Rubber Bands,,,,,,,,,,,,,,"""Universal Boxed Rubber Bands"" 420 1 lb. Box - UNV00119 ReStockIt "" Approximately Size 19 "" Universal Bands","""Boxed Rubber Bands80% rubber. 620-720 psi elasticity. 625% elongation. 12 lb. breaking strength (based on 1/8"" wide band). Band count approximate.Size 193-1/2""l x 1/16""w x 1/32 gauge (thickness).1,420 Bands1-lb. BoxCOLOR: BeigeALTERNATE ITEM #: 855730, 808592, 20379626, 790064, B0017D778W, SPR191LB, BSN15737UPC: 087547001196
""@en "
,,,,,,,,,,,Message Stamp,,,,,,,,,,,,Pre-Inked,,"""Message Stamp, COPY, Pre-Inked One-Color, Red"" Stamp by Universal® UNV10048 - OnTimeSupplies.com""","""Get your message across with a crisp, clean impression. Microporous ink surface ensures clarity. Soft-touch grip provides effortless stamping. Flip-open lid prevents accidental messes. Lasts for thousands of impressions. 
"" "
,,,,,,,,,,,Message Stamp,,,,,,,,,,,,Pre-Inked,,"""Universal Pre-Inked ""COPY"" Message Stamp"" 9/16 x 1 11/16 Red - UNV10048 ReStockIt "" "" Universal Stamp","""Get your message across with a crisp, clean impression delivered by the microporous ink surface. Soft-touch grip. Flip-open lid. Lasts for thousands of impressions. Stamp Type: Message; Message(s): COPY; Years: N\A; Layouts Available: N\A.ALTERNATE ITEM #: 423771, 321671, B001AS877E, EXP99624, XST1359, SPR60014, SPR60014UPC: 087547100486
""@en "
,,,,,,,,,,,Message Stamp,,,,,,,,,,,,Pre-Inked,,"""Universal Message Stamp, COPY, Pre-Inked One-Color, Red""-US Stamps & Pads Accessories and More | OfficeSupply.com""-US ""Shop for",
,,,,,,,,,,,File Folders,,,,,,,,,,,,,,"""File Folders, 1/3 Cut Second Position, One-Ply Top Tab, Legal, Manila, 100/Box"" Folders by Universal® UNV15122 - OnTimeSupplies.com""","""Classic folder constructed to perform in busy offices. 11 pt. Manila stock resists tearing. Bottom is triple-scored for no-sag expansion. Undercut at tabs for increased indexing area offering plenty of space for more detailed or larger labeling. 
"" "
,,,,Green product contains 10% post-consumer recycled content and 10% total recycled content.,,,,,,,File Folders,,,,,,,,,,,,,,"""Universal Manila File Folders"" "" Universal Folders 1/3 Cut 1 Ply Top Tabs 100/Box - UNV15122 ReStockIt "" Legal Size 2nd Position","""Heavyweight Single-Ply Top Tab Manila File Folders• Strong 11 pt. stock resists tearing• Bottom triple-scored for maximum 1"" capacity• Undercut at tab for increased indexing area. 100 folders per box.Legal Size1/3 Cut Tab2nd PositionThis Green product contains 10% post-consumer recycled content and 10% total recycled content.COLOR: ManilaALTERNATE ITEM #: 729323, 730044, B002TWK2AAUPC: 087547151228
""@en "
,,,,,,,,,,,Wire Clips,,,,,,,,,,,,,,"""Master Caster Cord Away® Wire Clips"" "" Master Clips 6/Pack - MAS00204 ReStockIt "" Self Adhesive","""Cord Away® Wire ClipsKeep wires tangle-free and safely out of the way by directing them around corners or any angle. Self-adhesive backing. Cavity size: 1-1/4w x 3/4d x 1h. Six clips per pack.ALTERNATE ITEM #: 253801, 481599, B000087K67UPC: 034238002048INNER PACKAGING: 6 per pack.
""@en "
,,,,,,,,,,,Wire Clips,,,,,,,,,,,,,,"""Self-Adhesive Wire Clips, Black, 6/Pack"" Clips by Cord Away® MAS00204 - OnTimeSupplies.com""","""Keep wires tangle free and safely out of the way by directing them around corners or at any angle. Locking-latch allows ease of access, simply place wires into clip and snap shut. Self-adhesive backing provides easy application. 
"" "
,,,US,,,,,,,,Wire Organizer Clips,,,,,,,,,,,,,,""" Master Caster Cord Away Self Adhesive Wire Organizer Clips ""-US ""Master Adhesive... | OfficeSupply.com""-US",
,,,US,,,,,,,,Clasp Envelopes,,,,,,,,,,,,,,""" Universal Gummed 7 1/2"" x 10 Clasp Envelopes ""-US ""Universal Clasp... | OfficeSupply.com""-US",
,,,,,,,,,,,Clasp Envelopes,,,,,,,,,,Brown Kraft,,,,"""Universal Brown Kraft Clasp Envelopes"" "" Universal Envelopes 100/Box - UNV35262 ReStockIt "" 7 1/2 x 10 28 lb.","""Kraft Clasp EnvelopesReinforced eyelets, two-prong clasps, and gummed flaps. 100 envelopes per box.Heavyweight 28-lb. Paper Stock10 Boxes per Carton7-1/2 x 10-1/2COLOR: Light BrownALTERNATE ITEM #: 330776, 233577, 20805602, 7CL91228, B0017DFGIK, SPR08875, BSN36662UPC: 087547352625INNER PACKAGING: 100 per box.
""@en "
,,,,,,,,,,,Clasp Envelopes,,,,,,,,,,Brown Kraft,,,,"""Kraft Clasp Envelope, Center Seam, 28lb, 7 1/2 x 10 1/2, Brown Kraft, 100/Box"" Envelope by Universal® UNV35262 - OnTimeSupplies.com""","""Durable heavyweight Kraft stock resists rips and tears. Reinforced eyelet and two prong clasp stands up to regular use. Gummed flap delivers a secure seal. 
"" "
,,,US,,,,,,,,Legal Pads,,,,,,,,,,,,,,""" Universal Colored Junior Legal Pads ""-US ""Universal - UNV35853 | OfficeSupply.com""-US",
,,,,,,,,,,,writing pads,,,,,,,,,,,,,,"""Universal fashion color perforated top pink writing pads"" dozen - UNV35853 ReStockIt "" 5 x 8 50/pad wide rule "" Universal pads","""Fashion Colored Perforated Ruled Writing Pads Excellent quality 16-lb. free-sheet 50 sheets per padWith MicroPerf™ clean edge. Personalize and color-code. Wide ruled, chipboard back. Dozen.5 x 8 SizePinkCOLOR: PinkALTERNATE ITEM #: 548518, SPR01071, B001CXUNQK, SPR01071UPC: 087547358535INNER PACKAGING: 50.
""@en "
,,,,,,,,,,,Note Pads,,,,,,,,,,,,,,"""Colored Perforated Note Pads, Narrow Rule, 5 x 8, Pink, 50 Sheet, Dozen"" Pads by Universal® UNV35853 - OnTimeSupplies.com""","""Attractive, affordable, fashion-colored ruled pads feature excellent-quality, free-sheet paper. High-quality perforation for clean-edge separation. Personalize and color code. Sturdy back.
"" "
,,,,,,,,,,,Dry-Erase Board,,,,"Ultra-smooth, high-contrast, stain-free",,,,,,,,,,"""Acco Quartet Dry-Erase Board"" White/Aluminum Frame - QRTP563T ReStockIt "" 36 x 24 "" Acco Board Porcelain/Steel","""EURO™ Frame Total Erase® Magnetic Porcelain Marker Board Incredible scratch and dent resistancestand up to heavy use Ultra-smooth, high-contrast, stain-free surfaces for superior performance Steel backing that allows the use of magnets double as bulletin boards ""Easy Mount"" hides hardware, while securing board to wall in four places for stabilityThe Euro™ two-tone frame has a titanium finish with gray accents that make it at home in any environment both visually appealing and functional. Mount directly through the high-impact, plastic corners. Factory-installed full-size marker tray. Includes ""Easy Mount"" hanging system. Two Quick clips to hold messages or notes, and four dry-erase markers.36w x 24h CLICK HERE FOR A GREAT REBATE OFFER ON THIS PRODUCTUPC: 034138563205
""@en "
,,,,,FREE SHIPPIN,,,,,,Dry-Erase Board,,,,,,,,,,,,,,"""Quartet Dry-Erase Board, Magnetic, 3' x 2', Titanium Frame"" X 2' Magnetic Board","""Get FREE SHIPPING (And out the door within 24 hours) on this item as well as each and every product in the SHIPS FREE IN 24 category!Dryerase BoardMagnetic3' X 2'Titanium Frame""@en "
,,,,,,,,,,,Whiteboard,,,,"Ultra-durable, ultra-smooth",Porcelain,,,,,,,,,"""Euro Frame Premium Porcelain Whiteboard, 36 x 24, Euro Titanium Aluminum Frame"" Whiteboard by Quartet® QRTP563T - OnTimeSupplies.com""","""Ultra-durable, ultra-smooth DuraMax® porcelain surface will not scratch, dent, stain or ghost. Delivers superior performance when collaboration is needed in high-profile, heavy-use office environments. Magnetic surface doubles as bulletin board. Easy-to-clean writing surface requires minimal use of Quartet® cleaning solutions. Removable corner caps and pass-thru mounting system secures board to wall at four mounting points, guaranteeing easy and accurate installation. Euro™ titanium finish offers sleek styling and maximum durability. Attached marker tray conveniently stores markers and accessories. Includes Quick Clips for securing documents and four Quartet® dry-erase markers. Available in other sizes. 
"" "
,,,,,,,,,,,Stamp Dispenser,,,,,Plastic,,,,,,,,,"""Ultimate Stamp Dispenser, One 100 Count Roll, Black, Plastic, 2"" Dia. X 1 11/16"""" Dispenser by LEE LEE40100 - OnTimeSupplies.com""","""Easily separate backing paper from self-adhesive stamp rolls. Patented dispenser is durable and reusable. Just drop roll in the dispenser, feed through the slot, feed backing under slots and pull backing to dispense. Use 50 or 100 count rolls or stamps, address labels, labels or stickers, up to 1"" wide. 
"" "
,,,,,,,,,,,Stamp Dispenser,,,,,Plastic,,,,,,,,,"""Lee Ultimate Stamp Dispenser"" Black One 100 Count Roll 2"""" Dia. X 1 11/16"""" - LEE40100 ReStockIt "" Plastic "" Lee Dispenser","""Easily separate backing paper from self-adhesive stamp rolls. Patented dispenser is durable and reusable. Just drop roll in the dispenser, feed through the slot, feed backing under slots and pull backing to dispense. Use 50 or 100 count rolls or stamps, address labels, labels or stickers, up to 1"" wide. Capacity (text): One 100 Count Roll; Color(s): Black; Material(s): Plastic; Size: 2"" dia. x 1 11/16"" h.ALTERNATE ITEM #: 871314, B004DJ1I6OUPC: 084417401001
""@en "
Outlet,,,US,,,,,,,,Stamp Dispenser,,,,,,,,,,,,,,"""LEE The Ultimate Stamp Dispenser - -40100""-US ""Desk Accessories & Workspace Organizers Page 2601 | Office Outlet Express""-US","""Easily separate backing paper from self-adhesive stamp rolls. Patented dispenser is durable and reusable. Just drop roll in the dispenser, feed through the slot, feed backing under slots and pull backing to dispense. Use 50 or 100 count rolls or stamps, labels or stickers, up to 1 wide. Capacity (text): One 100 Count Roll; Color(s): Black; Material(s): Plastic; Size: 2 dia. x 1 11/16 h.""@en-US "
,,,US,,,,,,,,Stamp Dispenser,,,,,,,,,,,,,,""" LEE Ultimate Stamp Dispenser, One 100 Count Roll, Black, Plastic, 2"" Dia. X 1 11/16"" ""-US ""LEE Dispenser 100... | OfficeSupply.com""-US",
,,,,,,,,,,,Dry-Erase Board,,,,,,,,,,,,,,"""Acco Quartet Dry-Erase Board"" 23 1/2 x 17 Black/White Black Frame - QRT06355BK ReStockIt "" Foam "" Acco Board","""Standard Workstation Tack & Write™ Dry Erase Marker BoardCombines a lightweight black tackable foam area with a dry erase marker board. Mount on solid or fabric walls, or even metal file cabinets! Includes hook and loop fasteners and double-sided tape for mounting, plus marker clip, Quartet® dry erase marker and eraser. 17-1/2w x 23-1/2hUPC: 034138063552
""@en "
,,,,,,,,,,,Tack & Write Board,,,,,,,,,,,,,,"""Tack & Write Board, 23 1/2 x 17 1/2, Black/White Surface, Black Frame"" Board by Quartet® QRT06355BK - OnTimeSupplies.com""","""Delivers effective performance when planning and organization is needed in personal workstations. Extend whiteboard surface life with regular cleanings using Quartet® cleaning solutions. Flexible mounting system secures to cubicles or dry-wall. Hang lightweight board with simple pins during cubicle mounts. Adjustable clips ensure straight and level installation during dry-wall mounts. Fits any fabric-panel wall system, with or without overhead bins. Includes one Quartet® dry-erase marker. 
"" "
,,,,,,,,,,,Imaging Unit,,,,,,,,,,,,,,"""108R00691 Imaging Unit, Black/Tri-Color"" Unit by Xerox® XER108R00691 - OnTimeSupplies.com""","""This OEM imaging unit is expressly designed to work with your machine. Keeps your device printing accurately for the professional results you demand. Offers easy installation to decrease downtime. 

This product fits the following machines:

Xerox Phaser Phaser 6115 MFP
Xerox Phaser Phaser 6115 MFP/D
Xerox Phaser Phaser 6115 MFP/N
Xerox Phaser Phaser 6120 N
"" "
,,,,,,,,,,,Imaging Unit,,,,,,,,,,,,,,"""Xerox IMAGING UNIT PHASER 6120 - 20K"" "" Xerox 20K XER108R00691 ReStockIt ""","""BLK/ 10K YIELD                     COLOR: Black, Cyan, Magenta, YellowALTERNATE ITEM #: 345770, 620870, B000BVXODIUPC: 095205219487
""@en "
,,,,,,,,,,,Solid Ink Stick,,,,,,,,,,,,,,"""108R00662 Solid Ink Stick, 3400 Page-Yield, 3/Box, Yellow"" Stick by Xerox® XER108R00662 - OnTimeSupplies.com""","""Extended shelf life—won't dry up like liquid ink cartridges. Clean and easy to use -- Just drop them into the shape and color-coded delivery slots. Consistent output that is accurate, convenient and remarkably cost effective. 

This product fits the following machines:

Xerox WorkCentre WorkCentre C2424 DN
Xerox WorkCentre WorkCentre C2424 DP
Xerox WorkCentre WorkCentre C2424 DX
"" "
,,,,,,,, laser printing,Xerox Product Support personnel,,Solid Ink Color Printer,,,,,,,,,,,,,,"""Xerox Refills for Workcentre C2424 Solid Ink Color Printer"" "" Xerox Printer 3 Yellow - XER108R00662 ReStockIt ""","""Solid Ink and Supplies for Xerox Phaser™ Printers The original alternative to laser printing Clean, safe, reloads as easy as a staplerno more messy liquids or toners Extended shelf lifewon't dry up like liquid ink cartridges Flexibleuse on any kind of paper, even transparencies Environment-friendlyno cartridge disposalIf you are experiencing problems with your Xerox branded product, please call 800-835-6100 to speak with Xerox Product Support personnel.For WorkCentre C2424Solid Ink Sticks3 YellowCOLOR: YellowALTERNATE ITEM #: 368574UPC: 095205048254
""@en "
,,,,,,,,,,,Two-Pocket Portfolio,,,,,Embossed Leather Grain Paper,,,,,,,,,"""Two-Pocket Portfolio, Embossed Leather Grain Paper, White, 25/Box"" Portfolio by Universal® UNV56604 - OnTimeSupplies.com""","""Texture adds a nice touch to an economical portfolio. Die-cuts on left pocket keep business card in view for follow-up. For 11 x 8 1/2 sheets. 
"" "
,,,,,,,,,,,Two Pocket Portfolio,,,,,Leatherette CoversInside pockets,,,,,,,,,"""Universal Two Pocket Portfolio"" "" Universal Portfolio White Pack of 25 - UNV56604 ReStockIt ""","""Two-Pocket Portfolios with Leatherette CoversInside pockets hold sheets to 11 x 8-1/2. Business card holder. 25 portfolios per box.WhiteCOLOR: WhiteALTERNATE ITEM #: 433649, 905671, 712510, B001W9SGFYUPC: 087547566046
""@en "
,,,,,,,,,,,Index Cards,,,,,,,,,,,,,,"""Universal Continuous White Index Cards"" 3x5 Detached Size 4 000 Cards/Carton - UNV63135 ReStockIt "" "" Universal Cards","""Continuous Index Cards Fanfolded, pinhole stubsDetached size 3 x 5. One card across. 4,000 index cards per carton.WhiteCOLOR: WhiteALTERNATE ITEM #: 737234, SPR01097, B002764ZRE, SPR01097UPC: 087547631355
""@en "
,,,,,,,,,,,Index Cards,,,,,,,,,,,,,,"""Continuous Unruled Index Cards, 3 x 5, White, 4,000/Carton"" Cards by Universal® UNV63135 - OnTimeSupplies.com""","""Fanfolded cards with pinhole stubs. One card across. 
"" "
,,,US,,,,,,,,Universal Steno Pad,,,,,,,,,,,,,,"""Universal Steno Pad ""-US Pads & Filler Paper and More | OfficeSupply.com""-US Notebooks ""Shop for",
